lesson_id,category_id,title,duration_min,difficulty
L1,C1,Introduction to Python,45,Beginner
L2,C1,Advanced Python,60,Advanced
L3,C1,Java for Beginners,60,Intermediate
L4,C1,C++ Fundamentals,30,Intermediate
L5,C1,Web Development with React,90,Beginner
L6,C1,Node.js Backend,45,Advanced
L7,C1,Database Design SQL,30,Advanced
L8,C1,NoSQL Databases,45,Intermediate
L9,C1,Version Control with Git,45,Advanced
L10,C1,Docker & Containers,60,Advanced
L11,C1,Kubernetes Basics,45,Advanced
L12,C1,CI/CD Pipelines,30,Intermediate
L13,C1,Data Structures,30,Advanced
L14,C1,Algorithms Analysis,90,Intermediate
L15,C1,Clean Code Principles,30,Intermediate
L16,C2,Machine Learning Basics,60,Intermediate
L17,C2,Deep Learning Fundamentals,60,Intermediate
L18,C2,Neural Networks Explained,30,Intermediate
L19,C2,Convolutional Neural Networks,45,Beginner
L20,C2,Natural Language Processing,90,Advanced
L21,C2,Reinforcement Learning,90,Advanced
L22,C2,Computer Vision,90,Advanced
L23,C2,Data Visualization with Matplotlib,60,Intermediate
L24,C2,Pandas for Data Science,90,Advanced
L25,C2,Generative AI,45,Beginner
L26,C2,Ethics in AI,30,Advanced
L27,C3,Fundamentals of Cybersecurity,90,Beginner
